generation,avg_child_fitness,avg_elite,avg_off,avg_mut,avg_rand,best_fit,delta_best,mean_offspring_gain,mean_mutant_gain,mut_gain_swap,mut_gain_rotate,mut_gain_scramble,mut_gain_insertion
86,0.6622230673642511,0.7748451978947922,0.6424062291458641,0.6831406508170137,0.6100034713959791,0.7766222944409173,0.0,-0.08290918295691987,-0.09192668414604427,-0.093041197254798,-0.09340283522947716,-0.08956134819437768,-0.07847819745089052
87,0.6555847908809399,0.7751413806524797,0.6367245225328294,0.6744339752084337,0.6031738607525076,0.7766222944409173,0.0,-0.07899799577611005,-0.10055931406520222,-0.09084469298328586,-0.11493656886703935,-0.09162340026743568
88,0.6670311299243232,0.7757337461678548,0.643670754328886,0.6876758219091224,0.6188442522603712,0.7766222944409173,0.0,-0.04774928483707868,-0.0879838785693105,-0.08410595103830573,-0.08000371558491143,-0.10837308335110203,-0.06335653492088356
89,0.6668590745704563,0.77632611168323,0.655948720983018,0.6932135299579227,0.6025043574078689,0.7766222944409173,0.0,-0.05162890825316404,-0.08303853603588512,-0.0371852501111534,-0.11327557912137236,-0.07714179121744763,-0.09346624269402172
90,0.6680860058175145,0.7766222944409175,0.6593866273884788,0.68280584327631,0.6180803786173426,0.7766222944409173,0.0,-0.045537254971530064,-0.0938164511646072,-0.08395523483467819,-0.1260570695936703,-0.028861368275399424,-0.09161736821759428
91,0.664115661316705,0.7766222944409175,0.6443778016062878,0.6809276560322377,0.6173560304615348,0.7766222944409173,0.0,-0.0566019004489956,-0.09569463840867949,-0.11855964385998516,-0.10658724915980362,-0.07777544347287185,-0.08769935194862888
92,0.6652894475385931,0.7766222944409175,0.6370289794420959,0.6842600918830863,0.6217246181761583,0.7766222944409176,2.220446049250313e-16,-0.038859501299124084,-0.09236220255783081,-0.1049596900233263,-0.09090861730973976,-0.07979464394262506,-0.11125991329674631
93,0.6690697455478025,0.7766222944409175,0.6628747989599836,0.6905558575371331,0.6087007109895356,0.7840479432995641,0.007425648858646494,-0.04679978456400759,-0.08606643690378421,-0.06645434507238183,-0.11525880621032483,-0.06789395735517881,-0.07207131115748004
94,0.6633694256925563,0.7773648593267822,0.6496388538017576,0.6743862770844071,0.6198355272192113,0.7840479432995641,0.0,-0.05915236300805138,-0.10297858224237477,-0.10515585375676899,-0.11123201269431136,-0.08499640236547593,-0.08888994724448042
95,0.667573267380435,0.7773648593267822,0.6400654391722063,0.6926658873716951,0.6158577955487919,0.7840479432995641,0.0,-0.05013798307755207,-0.08525589561948549,-0.07058384764291023,-0.11677251499171554,-0.05640590169291552,-0.06014363990836041
96,0.6663368883814449,0.778992325434491,0.6505599675125529,0.6904423742235051,0.6071623754869446,0.7840479432995641,0.0,-0.0391802412887541,-0.08839989407351474,-0.10865504181992348,-0.1003013168635284,-0.06862564761288102,-0.0677455808147408
97,0.6646800479721487,0.7798772266563352,0.6373369998449636,0.6932583469608259,0.6064052885106405,0.7840479432995641,0.0,-0.04039187428277146,-0.08651212744352484,-0.081917182144832,-0.07365212253580292,-0.11352271695109815,-0.014975762785895333
98,0.6718895559406919,0.7800195629923148,0.6518602364950922,0.6925620667937469,0.621635752083144,0.7840479432995641,0.0,-0.058229672277068475,-0.08734302314509158,-0.07125190707537346,-0.053458721838614276,-0.12394971049048172,-0.04844695155921193
