timestamp,pattern_name,mutation_type,avg_gain_total,count_total,avg_gain_early,count_early,avg_gain_mid,count_mid,avg_gain_late,count_late
20250811_134639,rand_07EKIQJMNA,design_params,-0.043989385186095464,49,-0.03809730607116237,24,-0.04245737862189216,14,-0.05879465706402636,11
20250811_134639,rand_07EKIQJMNA,inversion,-0.046173929685298674,60,-0.04564116958709053,23,-0.04365895484067222,19,-0.04950937436900364,18
20250811_134639,rand_07EKIQJMNA,scramble,-0.040580998561904245,50,-0.03191995365026183,20,-0.04720470552557612,17,-0.04524391239655246,13
20250811_134639,rand_07EKIQJMNA,split,-0.025682674753844337,52,-0.021465804142675696,18,-0.022259405291515384,19,-0.0350790608061967,15
20250811_134639,rand_07EKIQJMNA,insertion,-0.03809179898349478,42,-0.02888996318450432,14,-0.03377535188915385,14,-0.051610081876826204,14
20250811_134848,rand_07JYAR0G1P,split,-0.030672776477376842,44,-0.022600865279051356,17,-0.03457841148369107,26,-0.06634875668474038,1
20250811_134848,rand_07JYAR0G1P,swap,-0.03649009562762684,42,-0.02227824087033578,16,-0.04200339586323209,23,-0.07001801919353894,3
20250811_134848,rand_07JYAR0G1P,design_params,0.0,40,0.0,18,0.0,14,0.0,8
20250811_134848,rand_07JYAR0G1P,insertion,-0.045787941874991966,39,-0.04167339177393991,22,-0.050987807596705396,15,-0.052049000073713714,2
20250811_134848,rand_07JYAR0G1P,scramble,-0.039448004243131427,45,-0.027593219994409546,31,-0.06659387441773876,11,-0.062412584173030604,3
20250811_134848,rand_07JYAR0G1P,inversion,-0.06356693470855579,43,-0.04486657810460798,22,-0.09486980580725314,15,-0.05387773117628777,6
20250811_134848,rand_07JYAR0G1P,rotate,-0.06147237592871194,47,-0.03502651885728288,24,-0.0874423665009093,21,-0.10613775977778844,2
20250811_135210,rand_07LSZ9ASL3,inversion,-0.06661157473825928,43,-0.06285058244017769,30,-0.07529078773383219,13,0,0
20250811_135210,rand_07LSZ9ASL3,scramble,-0.04746014751582922,41,-0.04211730527203207,28,-0.05896780773323846,13,0,0
20250811_135210,rand_07LSZ9ASL3,rotate,-0.058166128060671146,37,-0.04446171764524592,27,-0.0951680361823193,10,0,0
20250811_135210,rand_07LSZ9ASL3,insertion,-0.05287347476249491,25,-0.030279007852828242,11,-0.07062627019151872,14,0,0
20250811_135210,rand_07LSZ9ASL3,design_params,-0.08295805164548455,39,-0.057602206783837456,19,-0.10704610426404929,20,0,0
20250811_135210,rand_07LSZ9ASL3,swap,-0.07676230064366897,39,-0.05566829288344285,21,-0.10137197636393279,18,0,0
20250811_135210,rand_07LSZ9ASL3,split,-0.04740940558198657,26,-0.03978628575388808,14,-0.05630304538143482,12,0,0
20250811_135356,rand_07SXFM3OXA,split,-0.04603264738428882,43,-0.045486613694695345,24,-0.04672237415009112,19,0,0
20250811_135356,rand_07SXFM3OXA,swap,-0.1127907440317413,40,-0.11192468631269406,26,-0.11439913693854328,14,0,0
20250811_135356,rand_07SXFM3OXA,inversion,-0.10651249156066026,30,-0.09838754008167906,19,-0.12054649866071866,11,0,0
20250811_135356,rand_07SXFM3OXA,rotate,-0.07591925718023299,27,-0.08328671770421212,16,-0.06520295096353607,11,0,0
20250811_135356,rand_07SXFM3OXA,scramble,-0.07727027026873541,31,-0.08207059661239115,17,-0.0714413025657249,14,0,0
20250811_135356,rand_07SXFM3OXA,design_params,-0.1313856751466479,44,-0.1219218213803196,25,-0.14383811431286928,19,0,0
20250811_135356,rand_07SXFM3OXA,insertion,-0.08250749479787087,35,-0.09323398481723054,23,-0.061948388927431465,12,0,0
20250811_135808,rand_07XRPZ49VR,scramble,-0.018300269744493506,30,-0.015699109977334282,23,-0.026846937550873813,7,0,0
20250811_135808,rand_07XRPZ49VR,inversion,-0.028258636522053827,35,-0.02758755429410116,22,-0.029394314138589103,13,0,0
20250811_135808,rand_07XRPZ49VR,design_params,-0.022064166744830305,41,-0.018215004461379993,25,-0.028078482812721413,16,0,0
20250811_135808,rand_07XRPZ49VR,rotate,-0.35229286054607045,45,-0.30485346473220964,30,-0.4471716521737919,15,0,0
20250811_135808,rand_07XRPZ49VR,swap,-0.03153742364567377,32,-0.023771108417008874,15,-0.03839005472978986,17,0,0
20250811_135808,rand_07XRPZ49VR,insertion,-0.030919875962678242,38,-0.025604438136769086,17,-0.03522284944079518,21,0,0
20250811_135808,rand_07XRPZ49VR,split,-0.029474160695692087,29,-0.033117236506476716,18,-0.023512763914408142,11,0,0
20250811_142425,rand_080HTM498A,scramble,-0.05280666117140967,42,-0.03628701639319621,22,-0.07651993014612853,15,-0.05435329127139228,5
20250811_142425,rand_080HTM498A,design_params,-0.07737937584827514,37,-0.052464498297335405,17,-0.09037223122543525,12,-0.11083420757828194,8
20250811_142425,rand_080HTM498A,split,-0.019838378888687582,64,-0.020586639886121704,25,-0.01622643747607197,24,-0.024370383486482357,15
20250811_142425,rand_080HTM498A,swap,-0.07100058763636066,45,-0.04224978318884063,18,-0.09006580117012586,23,-0.09075422983105108,4
20250811_142425,rand_080HTM498A,inversion,-0.06284081585739154,50,-0.05230351146963064,26,-0.07596825739426431,18,-0.06912014359373714,6
20250811_142425,rand_080HTM498A,insertion,-0.05004765110510456,40,-0.04521756719466638,19,-0.047663096390009915,15,-0.0713043036092287,6
20250811_142425,rand_080HTM498A,rotate,-0.0655648576015304,47,-0.041945635353992816,23,-0.08844359957378162,18,-0.08746898363367096,6
20250811_153148,rand_0883WEOFDQ,design_params,-0.039540589946737724,77,-0.03265432179857234,27,-0.029787692684316264,21,-0.053014385895403804,29
20250811_153148,rand_0883WEOFDQ,rotate,-0.04960623047177751,72,-0.04874844032816547,27,-0.03801420398578697,19,-0.05896810882221385,26
20250811_153148,rand_0883WEOFDQ,swap,-0.033271603904599746,66,-0.03295074113202451,19,-0.030449154576580626,21,-0.03578575115718939,26
20250811_153148,rand_0883WEOFDQ,insertion,-0.03370367387482253,63,-0.03299423966348483,21,-0.03459455325158097,18,-0.03365626927717418,24
20250811_153148,rand_0883WEOFDQ,inversion,-0.037971933544511415,59,-0.0364653956092233,14,-0.03785527463757413,18,-0.0388308739674338,27
